THINGS_Name,SPARC_Name,In_SPARC
DDO 154,DDO154,True
DDO 53,,False
Ho I,,False
Ho II,UGC04305,True
IC 2574,IC2574,True
M81 DwA,,False
M81 DwB,,False
NGC 1569,,False
NGC 2366,NGC2366,True
NGC 2403,NGC2403,True
NGC 2841,NGC2841,True
NGC 2903,NGC2903,True
NGC 2976,NGC2976,True
NGC 3031,,False
NGC 3077,,False
NGC 3184,,False
NGC 3198,NGC3198,True
NGC 3351,,False
NGC 3521,NGC3521,True
NGC 3621,,False
NGC 3627,,False
NGC 4214,NGC4214,True
NGC 4449,,False
NGC 4736,,False
NGC 4826,,False
NGC 5055,NGC5055,True
NGC 5194,,False
NGC 5236,,False
NGC 5457,,False
NGC 628,,False
NGC 6946,NGC6946,True
NGC 7331,NGC7331,True
NGC 7793,NGC7793,True
NGC 925,,False
